VINCHINA,LA RIOJA,Argentina,26,/worldclock/@3855050,50.799729904112766,68.0,30.0,4.65
GENERAL LAMADRID,LA RIOJA,Argentina,30,/worldclock/@3855103,52.506944416767915,68.0,30.0,4.65
IGLESIA,SAN JUAN,Argentina,5,/worldclock/@3853914,31.130985399123286,68.0,30.0,4.65
CALINGASTA,SAN JUAN,Argentina,12,/worldclock/@3863362,41.57545865142239,64.5,35.0,0.47
ULLUM,SAN JUAN,Argentina,111,/worldclock/@3833446,68.11555104873433,64.5,35.0,0.47
CAUCETE,SAN JUAN,Argentina,810,/worldclock/@3862240,91.82677220978276,64.5,35.0,0.47
ANGACO,SAN JUAN,Argentina,385,/worldclock/@3865769,82.95323513344215,64.5,35.0,0.47
ALBARDON,SAN JUAN,Argentina,332,/worldclock/@3866425,81.18628013601096,64.5,35.0,0.47
CONCORDIA,ENTRE RIOS,Argentina,4,/worldclock/@3435261,28.468849387084102,65.5,25.0,38.54
LA CAPITAL,SANTA FE,Argentina,1,/worldclock/@3852292,11.930149880471424,66.0,26.0,12.34
ZONDA,SAN JUAN,Argentina,107,/worldclock/@3832079,67.67769824139056,64.5,35.0,0.47
PARANA,ENTRE RIOS,Argentina,3,/worldclock/argentina/parana,25.036759144809714,66.0,26.0,12.34
SAN MARTIN,SAN JUAN,Argentina,447,/worldclock/argentina/san-juan,84.73458856857037,64.5,35.0,0.47
CHIMBAS,SAN JUAN,Argentina,191,/worldclock/@3861416,74.59055909028517,64.5,35.0,0.47
RIVADAVIA,SAN JUAN,Argentina,67,/worldclock/@3864627,62.092763031117634,64.5,35.0,0.47
CAPITAL,SAN JUAN,Argentina,6,/worldclock/@3862743,33.30610889811605,64.5,35.0,0.47
RAWSON,SAN JUAN,Argentina,309,/worldclock/@3839305,80.32977062975496,64.5,35.0,0.47
POCITO,SAN JUAN,Argentina,468,/worldclock/@3840858,85.28229818609569,64.5,35.0,0.47
SARMIENTO,SAN JUAN,Argentina,641,/worldclock/@3835706,89.03505998343685,64.5,35.0,0.47
JUNIN,SAN LUIS,Argentina,2,/worldclock/@3853353,20.199499633777762,63.5,23.0,13.53
DIAMANTE,ENTRE RIOS,Argentina,3,/worldclock/@3859380,25.036759144809714,66.0,26.0,12.34
LAS HERAS,MENDOZA,Argentina,127,/worldclock/@3848352,69.72202787096661,63.5,31.0,1.88
LAVALLE,MENDOZA,Argentina,1191,/worldclock/@3847327,96.42601584859862,63.5,31.0,1.88
URUGUAY,ENTRE RIOS,Argentina,1,/worldclock/@3435264,11.930149880471424,65.5,25.0,38.54
LUJAN DE CUYO,MENDOZA,Argentina,816,/worldclock/@3845393,91.91481799597737,63.5,31.0,1.88
GUAYMALLEN,MENDOZA,Argentina,165,/worldclock/@3854459,72.84484466562004,63.5,31.0,1.88
MAIPU,MENDOZA,Argentina,1075,/worldclock/@3845244,95.20350202844581,63.5,31.0,1.88
TUPUNGATO,MENDOZA,Argentina,563,/worldclock/@3861126,87.48712507911426,63.5,31.0,1.88
JUAN MARTIN DE PUEYRREDON,SAN LUIS,Argentina,1,/worldclock/@10231161,11.930149880471424,66.5,27.0,22.51
GENERAL ALVEAR,MENDOZA,Argentina,1117,/worldclock/@3855136,95.66073526473728,66.5,27.0,22.51
PUELEN,LA PAMPA,Argentina,1,/worldclock/@3840188,11.930149880471424,59.5,31.0,1.53
TANDIL,BUENOS AIRES,Argentina,2,/worldclock/argentina/tandil,20.199499633777762,57.5,27.0,29.45
BENITO JUAREZ,BUENOS AIRES,Argentina,1,/worldclock/@3436046,11.930149880471424,57.5,27.0,29.45
GENERAL ROCA,RIO NEGRO,Argentina,155,/worldclock/@3855061,72.09896743625215,59.5,31.0,1.53
BALCARCE,BUENOS AIRES,Argentina,1,/worldclock/@3436177,11.930149880471424,57.5,23.0,14.98
CURACO,LA PAMPA,Argentina,1,/worldclock/@3859613,11.930149880471424,59.5,31.0,1.53
CALEU CALEU,LA PAMPA,Argentina,3,/worldclock/@3863377,25.036759144809714,61.0,28.0,11.37
AVELLANEDA,RIO NEGRO,Argentina,23,/worldclock/@3865210,49.337065825857415,59.5,31.0,1.53
PICHI MAHUIDA,RIO NEGRO,Argentina,11,/worldclock/@3841356,40.5373998826299,58.5,27.0,4.44
EL CUY,RIO NEGRO,Argentina,4,/worldclock/@3858241,28.468849387084102,59.5,31.0,1.53
ADOLFO ALSINA,RIO NEGRO,Argentina,6,/worldclock/@3866927,33.30610889811605,58.5,27.0,4.44
LANGUINEO,CHUBUT,Argentina,1,/worldclock/@3849745,11.930149880471424,48.5,23.0,7.7
